,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.1,CELL.1,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,1,0,VLMC
CELL.2,CELL.2,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,2,0,VLMC
CELL.3,CELL.3,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,3,0,VLMC
CELL.4,CELL.4,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,4,0,VLMC
CELL.5,CELL.5,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,5,0,VLMC
CELL.6,CELL.6,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,6,0,VLMC
CELL.7,CELL.7,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,7,0,VLMC
CELL.8,CELL.8,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,8,0,VLMC
CELL.9,CELL.9,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,9,0,VLMC
CELL.10,CELL.10,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,10,0,VLMC
CELL.11,CELL.11,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,11,0,VLMC
CELL.12,CELL.12,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,12,0,VLMC
CELL.13,CELL.13,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,13,0,VLMC
CELL.14,CELL.14,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,14,7,Immature DPEX
CELL.15,CELL.15,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,15,7,Immature DPEX
CELL.16,CELL.16,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,16,7,Immature DPEX
CELL.17,CELL.17,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,17,0,VLMC
CELL.18,CELL.18,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,18,0,VLMC
CELL.19,CELL.19,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,19,7,Immature DPEX
CELL.20,CELL.20,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,20,7,Immature DPEX
CELL.21,CELL.21,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,21,7,Immature DPEX
CELL.22,CELL.22,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,22,7,Immature DPEX
CELL.23,CELL.23,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,23,7,Immature DPEX
CELL.24,CELL.24,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,24,7,Immature DPEX
CELL.25,CELL.25,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,25,7,Immature DPEX
CELL.26,CELL.26,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,26,7,Immature DPEX
CELL.27,CELL.27,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,27,0,VLMC
CELL.28,CELL.28,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,28,0,VLMC
CELL.29,CELL.29,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,29,7,Immature DPEX
CELL.30,CELL.30,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,30,7,Immature DPEX
CELL.31,CELL.31,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,31,0,VLMC
CELL.32,CELL.32,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,32,7,Immature DPEX
CELL.33,CELL.33,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,33,7,Immature DPEX
CELL.34,CELL.34,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,34,7,Immature DPEX
CELL.35,CELL.35,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,35,0,VLMC
CELL.36,CELL.36,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,36,7,Immature DPEX
CELL.37,CELL.37,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,37,7,Immature DPEX
CELL.38,CELL.38,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,38,0,VLMC
CELL.39,CELL.39,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,39,0,VLMC
CELL.40,CELL.40,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,40,7,Immature DPEX
CELL.41,CELL.41,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,41,7,Immature DPEX
CELL.42,CELL.42,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,42,7,Immature DPEX
CELL.43,CELL.43,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,43,7,Immature DPEX
CELL.44,CELL.44,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,44,7,Immature DPEX
CELL.45,CELL.45,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,45,7,Immature DPEX
CELL.46,CELL.46,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,46,0,VLMC
CELL.47,CELL.47,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,47,7,Immature DPEX
CELL.48,CELL.48,3,Stage57_telencephalon_rep2_DP8400015649BRD5_1,48,0,VLMC
CELL.49,CELL.49,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,49,7,Immature DPEX
CELL.50,CELL.50,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,50,0,VLMC
CELL.51,CELL.51,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,51,0,VLMC
CELL.52,CELL.52,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,52,0,VLMC
CELL.53,CELL.53,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,53,0,VLMC
CELL.54,CELL.54,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,54,0,VLMC
CELL.55,CELL.55,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,55,7,DNBL2
CELL.56,CELL.56,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,56,7,Immature DPEX
CELL.57,CELL.57,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,57,0,VLMC
CELL.58,CELL.58,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,58,7,Immature DPEX
CELL.59,CELL.59,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,59,7,Immature DPEX
CELL.60,CELL.60,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,60,7,Immature DPEX
CELL.61,CELL.61,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,61,7,Immature DPEX
CELL.62,CELL.62,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,62,7,Immature DPEX
CELL.63,CELL.63,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,63,0,VLMC
CELL.64,CELL.64,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,64,7,Immature DPEX
CELL.65,CELL.65,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,65,7,Immature DPEX
CELL.66,CELL.66,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,66,0,VLMC
CELL.67,CELL.67,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,67,0,VLMC
CELL.68,CELL.68,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,68,7,Immature DPEX
CELL.69,CELL.69,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,69,7,Immature DPEX
CELL.70,CELL.70,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,70,7,Immature DPEX
CELL.71,CELL.71,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,71,0,VLMC
CELL.72,CELL.72,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,72,0,VLMC
CELL.73,CELL.73,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,73,0,VLMC
CELL.74,CELL.74,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,74,7,Immature DPEX
CELL.75,CELL.75,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,75,7,Immature DPEX
CELL.76,CELL.76,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,76,7,Immature DPEX
CELL.77,CELL.77,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,77,7,Immature DPEX
CELL.78,CELL.78,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,78,15,Immature NPTXEX
CELL.79,CELL.79,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,79,7,Immature DPEX
CELL.80,CELL.80,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,80,7,Immature DPEX
CELL.81,CELL.81,2,Stage57_telencephalon_rep2_DP8400015649BRD5_1,81,0,VLMC
CELL.82,CELL.82,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,82,7,DNBL2
CELL.83,CELL.83,5,Stage57_telencephalon_rep2_DP8400015649BRD5_1,83,7,Immature DPEX
