,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.1,CELL.1,5,Injury_5DPI_rep1_SS200000147BL_D2,1,3,21.0,4475.0,uninj,V,NO,VLMC,VLMC
CELL.3,CELL.3,5,Injury_5DPI_rep1_SS200000147BL_D2,3,3,27.0,4547.0,uninj,V,NO,VLMC,VLMC
CELL.4,CELL.4,5,Injury_5DPI_rep1_SS200000147BL_D2,4,12,31.0,4247.0,uninj,V,NO,VLMC,VLMC
CELL.5,CELL.5,5,Injury_5DPI_rep1_SS200000147BL_D2,5,15,44.0,4435.0,uninj,V,NO,Microglia,MCG
CELL.6,CELL.6,5,Injury_5DPI_rep1_SS200000147BL_D2,6,3,58.0,4102.0,uninj,V,NO,VLMC,VLMC
CELL.7,CELL.7,5,Injury_5DPI_rep1_SS200000147BL_D2,7,3,47.0,4355.0,uninj,V,NO,VLMC,VLMC
CELL.8,CELL.8,5,Injury_5DPI_rep1_SS200000147BL_D2,8,3,57.0,4697.0,uninj,V,NO,VLMC,VLMC
CELL.9,CELL.9,5,Injury_5DPI_rep1_SS200000147BL_D2,9,3,46.0,4196.0,uninj,V,NO,VLMC,VLMC
CELL.10,CELL.10,5,Injury_5DPI_rep1_SS200000147BL_D2,10,3,54.0,4076.0,uninj,V,NO,VLMC,VLMC
CELL.11,CELL.11,5,Injury_5DPI_rep1_SS200000147BL_D2,11,12,55.0,4235.0,uninj,V,NO,VLMC,VLMC
CELL.14,CELL.14,5,Injury_5DPI_rep1_SS200000147BL_D2,14,3,72.0,4780.0,uninj,V,NO,VLMC,VLMC
CELL.15,CELL.15,5,Injury_5DPI_rep1_SS200000147BL_D2,15,3,70.0,4723.0,uninj,V,NO,VLMC,VLMC
CELL.16,CELL.16,5,Injury_5DPI_rep1_SS200000147BL_D2,16,3,82.0,4806.0,uninj,V,NO,VLMC,VLMC
CELL.17,CELL.17,5,Injury_5DPI_rep1_SS200000147BL_D2,17,3,80.0,4065.0,uninj,V,NO,VLMC,VLMC
CELL.20,CELL.20,5,Injury_5DPI_rep1_SS200000147BL_D2,20,3,102.0,4726.0,uninj,V,NO,VLMC,VLMC
CELL.21,CELL.21,5,Injury_5DPI_rep1_SS200000147BL_D2,21,3,113.0,4898.0,uninj,V,NO,VLMC,VLMC
CELL.22,CELL.22,5,Injury_5DPI_rep1_SS200000147BL_D2,22,3,112.0,3972.0,uninj,V,NO,VLMC,VLMC
CELL.23,CELL.23,5,Injury_5DPI_rep1_SS200000147BL_D2,23,3,111.0,4802.0,uninj,V,NO,VLMC,VLMC
CELL.24,CELL.24,5,Injury_5DPI_rep1_SS200000147BL_D2,24,3,115.0,4858.0,uninj,V,NO,VLMC,VLMC
CELL.26,CELL.26,5,Injury_5DPI_rep1_SS200000147BL_D2,26,12,140.0,4930.0,uninj,V,NO,VLMC,VLMC
CELL.27,CELL.27,5,Injury_5DPI_rep1_SS200000147BL_D2,27,15,154.0,3821.0,uninj,V,NO,Microglia,MCG
CELL.28,CELL.28,5,Injury_5DPI_rep1_SS200000147BL_D2,28,15,155.0,3846.0,uninj,V,NO,Microglia,MCG
CELL.32,CELL.32,5,Injury_5DPI_rep1_SS200000147BL_D2,32,12,176.0,3757.0,uninj,V,NO,VLMC,VLMC
CELL.34,CELL.34,5,Injury_5DPI_rep1_SS200000147BL_D2,34,3,182.0,3638.0,uninj,V,NO,VLMC,VLMC
CELL.36,CELL.36,5,Injury_5DPI_rep1_SS200000147BL_D2,36,3,193.0,3739.0,uninj,V,NO,VLMC,VLMC
CELL.38,CELL.38,7,Injury_5DPI_rep1_SS200000147BL_D2,38,2,197.0,3871.0,uninj,V,NO,CCKIN,CCKIN
CELL.39,CELL.39,5,Injury_5DPI_rep1_SS200000147BL_D2,39,3,205.0,3667.0,uninj,V,NO,VLMC,VLMC
CELL.41,CELL.41,5,Injury_5DPI_rep1_SS200000147BL_D2,41,3,217.0,3637.0,uninj,V,NO,VLMC,VLMC
CELL.43,CELL.43,5,Injury_5DPI_rep1_SS200000147BL_D2,43,15,199.0,3766.0,uninj,V,NO,Microglia,MCG
CELL.44,CELL.44,5,Injury_5DPI_rep1_SS200000147BL_D2,44,15,213.0,3712.0,uninj,V,NO,Microglia,MCG
CELL.45,CELL.45,5,Injury_5DPI_rep1_SS200000147BL_D2,45,3,218.0,5039.0,uninj,V,NO,VLMC,VLMC
CELL.47,CELL.47,6,Injury_5DPI_rep1_SS200000147BL_D2,47,3,231.0,4221.0,uninj,V,NO,VLMC,VLMC
CELL.49,CELL.49,5,Injury_5DPI_rep1_SS200000147BL_D2,49,12,225.0,3611.0,uninj,V,NO,VLMC,VLMC
CELL.50,CELL.50,5,Injury_5DPI_rep1_SS200000147BL_D2,50,3,223.0,3735.0,uninj,V,NO,VLMC,VLMC
CELL.51,CELL.51,5,Injury_5DPI_rep1_SS200000147BL_D2,51,3,229.0,3682.0,uninj,V,NO,VLMC,VLMC
CELL.52,CELL.52,5,Injury_5DPI_rep1_SS200000147BL_D2,52,15,238.0,3918.0,uninj,V,NO,Microglia,MCG
