,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.3,CELL.3,2,Injury_5DPI_rep3_SS200000147BL_D3,3,1,2502.0,27.0,inj,V,NO,VLMC,VLMC
CELL.4,CELL.4,2,Injury_5DPI_rep3_SS200000147BL_D3,4,7,1606.0,40.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.5,CELL.5,2,Injury_5DPI_rep3_SS200000147BL_D3,5,14,2000.0,34.0,inj,D,inj_D_LP,Microglia,MCG
CELL.6,CELL.6,2,Injury_5DPI_rep3_SS200000147BL_D3,6,7,1645.0,40.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.7,CELL.7,2,Injury_5DPI_rep3_SS200000147BL_D3,7,7,1792.0,54.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.8,CELL.8,2,Injury_5DPI_rep3_SS200000147BL_D3,8,1,1935.0,42.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.9,CELL.9,2,Injury_5DPI_rep3_SS200000147BL_D3,9,7,1557.0,51.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.10,CELL.10,2,Injury_5DPI_rep3_SS200000147BL_D3,10,7,1832.0,54.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.11,CELL.11,2,Injury_5DPI_rep3_SS200000147BL_D3,11,7,1682.0,53.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.12,CELL.12,2,Injury_5DPI_rep3_SS200000147BL_D3,12,7,1506.0,51.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.13,CELL.13,2,Injury_5DPI_rep3_SS200000147BL_D3,13,7,1865.0,64.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.14,CELL.14,2,Injury_5DPI_rep3_SS200000147BL_D3,14,1,2400.0,53.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.15,CELL.15,2,Injury_5DPI_rep3_SS200000147BL_D3,15,1,2459.0,45.0,inj,V,NO,VLMC,VLMC
CELL.16,CELL.16,2,Injury_5DPI_rep3_SS200000147BL_D3,16,1,2430.0,49.0,inj,V,NO,VLMC,VLMC
CELL.17,CELL.17,2,Injury_5DPI_rep3_SS200000147BL_D3,17,7,1590.0,55.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.18,CELL.18,2,Injury_5DPI_rep3_SS200000147BL_D3,18,7,1638.0,59.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.20,CELL.20,2,Injury_5DPI_rep3_SS200000147BL_D3,20,7,1463.0,74.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.21,CELL.21,2,Injury_5DPI_rep3_SS200000147BL_D3,21,1,2193.0,70.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.26,CELL.26,2,Injury_5DPI_rep3_SS200000147BL_D3,26,7,1660.0,67.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.28,CELL.28,2,Injury_5DPI_rep3_SS200000147BL_D3,28,7,1505.0,73.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.29,CELL.29,2,Injury_5DPI_rep3_SS200000147BL_D3,29,7,1763.0,74.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.30,CELL.30,2,Injury_5DPI_rep3_SS200000147BL_D3,30,7,1888.0,74.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.31,CELL.31,2,Injury_5DPI_rep3_SS200000147BL_D3,31,7,1379.0,89.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.32,CELL.32,2,Injury_5DPI_rep3_SS200000147BL_D3,32,7,1535.0,68.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.33,CELL.33,2,Injury_5DPI_rep3_SS200000147BL_D3,33,7,1725.0,75.0,inj,D,inj_D_LP,VLMC,VLMC
