,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.2780,CELL.2780,5,Injury_20DPI_rep2_SS200000147BL_B4,2780,9,10267.0,1633.0,uninj,V,VLMC,VLMC
CELL.2785,CELL.2785,5,Injury_20DPI_rep2_SS200000147BL_B4,2785,9,10232.0,1639.0,uninj,V,VLMC,VLMC
CELL.2797,CELL.2797,5,Injury_20DPI_rep2_SS200000147BL_B4,2797,9,10296.0,1642.0,uninj,V,VLMC,VLMC
CELL.2798,CELL.2798,5,Injury_20DPI_rep2_SS200000147BL_B4,2798,9,10323.0,1646.0,uninj,V,VLMC,VLMC
CELL.2805,CELL.2805,5,Injury_20DPI_rep2_SS200000147BL_B4,2805,9,10353.0,1651.0,uninj,V,VLMC,VLMC
CELL.2821,CELL.2821,5,Injury_20DPI_rep2_SS200000147BL_B4,2821,7,9962.0,1659.0,uninj,V,VLMC,VLMC
CELL.2822,CELL.2822,1,Injury_20DPI_rep2_SS200000147BL_B4,2822,10,892.0,1661.0,inj,V,Striatum IN,MSN
CELL.2826,CELL.2826,5,Injury_20DPI_rep2_SS200000147BL_B4,2826,7,10391.0,1666.0,uninj,V,VLMC,VLMC
CELL.2831,CELL.2831,5,Injury_20DPI_rep2_SS200000147BL_B4,2831,7,10423.0,1666.0,uninj,V,VLMC,VLMC
CELL.2835,CELL.2835,5,Injury_20DPI_rep2_SS200000147BL_B4,2835,9,9937.0,1667.0,uninj,V,VLMC,VLMC
CELL.2851,CELL.2851,5,Injury_20DPI_rep2_SS200000147BL_B4,2851,7,10461.0,1678.0,uninj,V,VLMC,VLMC
CELL.2876,CELL.2876,5,Injury_20DPI_rep2_SS200000147BL_B4,2876,7,10363.0,1689.0,uninj,V,VLMC,VLMC
CELL.2886,CELL.2886,5,Injury_20DPI_rep2_SS200000147BL_B4,2886,9,9775.0,1707.0,uninj,V,VLMC,VLMC
CELL.2901,CELL.2901,5,Injury_20DPI_rep2_SS200000147BL_B4,2901,7,10592.0,1704.0,uninj,V,VLMC,VLMC
CELL.2921,CELL.2921,5,Injury_20DPI_rep2_SS200000147BL_B4,2921,9,9731.0,1724.0,uninj,V,VLMC,VLMC
CELL.2929,CELL.2929,5,Injury_20DPI_rep2_SS200000147BL_B4,2929,9,9790.0,1721.0,uninj,V,VLMC,VLMC
CELL.2936,CELL.2936,5,Injury_20DPI_rep2_SS200000147BL_B4,2936,7,10083.0,1717.0,uninj,V,VLMC,VLMC
CELL.2948,CELL.2948,5,Injury_20DPI_rep2_SS200000147BL_B4,2948,7,10646.0,1732.0,uninj,V,VLMC,VLMC
CELL.2957,CELL.2957,5,Injury_20DPI_rep2_SS200000147BL_B4,2957,9,9594.0,1739.0,uninj,V,VLMC,VLMC
CELL.2958,CELL.2958,5,Injury_20DPI_rep2_SS200000147BL_B4,2958,9,9620.0,1751.0,uninj,V,VLMC,VLMC
CELL.2959,CELL.2959,5,Injury_20DPI_rep2_SS200000147BL_B4,2959,9,9650.0,1747.0,uninj,V,VLMC,VLMC
CELL.2962,CELL.2962,5,Injury_20DPI_rep2_SS200000147BL_B4,2962,9,9754.0,1735.0,uninj,V,VLMC,VLMC
CELL.2964,CELL.2964,5,Injury_20DPI_rep2_SS200000147BL_B4,2964,9,9678.0,1747.0,uninj,V,VLMC,VLMC
CELL.2976,CELL.2976,5,Injury_20DPI_rep2_SS200000147BL_B4,2976,9,9563.0,1754.0,uninj,V,VLMC,VLMC
CELL.2979,CELL.2979,5,Injury_20DPI_rep2_SS200000147BL_B4,2979,9,9709.0,1748.0,uninj,V,VLMC,VLMC
CELL.2981,CELL.2981,6,Injury_20DPI_rep2_SS200000147BL_B4,2981,7,10091.0,1751.0,uninj,V,VLMC,VLMC
CELL.3014,CELL.3014,5,Injury_20DPI_rep2_SS200000147BL_B4,3014,9,9543.0,1773.0,uninj,V,VLMC,VLMC
CELL.3016,CELL.3016,5,Injury_20DPI_rep2_SS200000147BL_B4,3016,7,10729.0,1775.0,uninj,V,VLMC,VLMC
CELL.3022,CELL.3022,5,Injury_20DPI_rep2_SS200000147BL_B4,3022,9,9578.0,1773.0,uninj,V,VLMC,VLMC
CELL.3040,CELL.3040,5,Injury_20DPI_rep2_SS200000147BL_B4,3040,7,9504.0,1788.0,uninj,V,VLMC,VLMC
CELL.3055,CELL.3055,5,Injury_20DPI_rep2_SS200000147BL_B4,3055,9,9456.0,1810.0,uninj,V,VLMC,VLMC
CELL.3059,CELL.3059,5,Injury_20DPI_rep2_SS200000147BL_B4,3059,7,10105.0,1798.0,uninj,V,VLMC,VLMC
CELL.3061,CELL.3061,5,Injury_20DPI_rep2_SS200000147BL_B4,3061,7,10739.0,1801.0,uninj,V,VLMC,VLMC
CELL.3091,CELL.3091,5,Injury_20DPI_rep2_SS200000147BL_B4,3091,7,10771.0,1827.0,uninj,V,VLMC,VLMC
CELL.3150,CELL.3150,5,Injury_20DPI_rep2_SS200000147BL_B4,3150,9,9344.0,1865.0,uninj,V,VLMC,VLMC
CELL.3166,CELL.3166,5,Injury_20DPI_rep2_SS200000147BL_B4,3166,9,10859.0,1872.0,uninj,V,VLMC,VLMC
CELL.3188,CELL.3188,5,Injury_20DPI_rep2_SS200000147BL_B4,3188,9,9375.0,1880.0,uninj,V,VLMC,VLMC
CELL.3191,CELL.3191,5,Injury_20DPI_rep2_SS200000147BL_B4,3191,9,10899.0,1888.0,uninj,V,VLMC,VLMC
CELL.3211,CELL.3211,5,Injury_20DPI_rep2_SS200000147BL_B4,3211,9,9476.0,1909.0,uninj,V,VLMC,VLMC
CELL.3225,CELL.3225,5,Injury_20DPI_rep2_SS200000147BL_B4,3225,9,10930.0,1908.0,uninj,V,VLMC,VLMC
CELL.3228,CELL.3228,5,Injury_20DPI_rep2_SS200000147BL_B4,3228,7,11027.0,1918.0,uninj,V,VLMC,VLMC
CELL.3240,CELL.3240,5,Injury_20DPI_rep2_SS200000147BL_B4,3240,9,9329.0,1916.0,uninj,V,VLMC,VLMC
CELL.3244,CELL.3244,5,Injury_20DPI_rep2_SS200000147BL_B4,3244,7,10041.0,1923.0,uninj,V,VLMC,VLMC
CELL.3270,CELL.3270,5,Injury_20DPI_rep2_SS200000147BL_B4,3270,9,9266.0,1948.0,uninj,V,VLMC,VLMC
CELL.3271,CELL.3271,5,Injury_20DPI_rep2_SS200000147BL_B4,3271,9,9480.0,1938.0,uninj,V,VLMC,VLMC
CELL.3277,CELL.3277,5,Injury_20DPI_rep2_SS200000147BL_B4,3277,7,11049.0,1948.0,uninj,V,VLMC,VLMC
CELL.3282,CELL.3282,5,Injury_20DPI_rep2_SS200000147BL_B4,3282,9,9237.0,1950.0,uninj,V,VLMC,VLMC
CELL.3294,CELL.3294,6,Injury_20DPI_rep2_SS200000147BL_B4,3294,7,10558.0,1956.0,uninj,V,VLMC,VLMC
CELL.3298,CELL.3298,5,Injury_20DPI_rep2_SS200000147BL_B4,3298,9,9213.0,1959.0,uninj,V,VLMC,VLMC
CELL.3299,CELL.3299,6,Injury_20DPI_rep2_SS200000147BL_B4,3299,7,10071.0,1962.0,uninj,V,VLMC,VLMC
CELL.3311,CELL.3311,6,Injury_20DPI_rep2_SS200000147BL_B4,3311,7,10156.0,1964.0,uninj,V,VLMC,VLMC
CELL.3325,CELL.3325,5,Injury_20DPI_rep2_SS200000147BL_B4,3325,9,9252.0,1967.0,uninj,V,VLMC,VLMC
CELL.3326,CELL.3326,5,Injury_20DPI_rep2_SS200000147BL_B4,3326,9,9520.0,1978.0,uninj,V,VLMC,VLMC
CELL.3333,CELL.3333,5,Injury_20DPI_rep2_SS200000147BL_B4,3333,7,11053.0,1973.0,uninj,V,VLMC,VLMC
CELL.3339,CELL.3339,5,Injury_20DPI_rep2_SS200000147BL_B4,3339,9,9193.0,1981.0,uninj,V,VLMC,VLMC
CELL.3347,CELL.3347,5,Injury_20DPI_rep2_SS200000147BL_B4,3347,7,9354.0,1978.0,uninj,V,VLMC,VLMC
CELL.3359,CELL.3359,5,Injury_20DPI_rep2_SS200000147BL_B4,3359,9,9546.0,1990.0,uninj,V,VLMC,VLMC
CELL.3374,CELL.3374,6,Injury_20DPI_rep2_SS200000147BL_B4,3374,7,10258.0,1997.0,uninj,V,VLMC,VLMC
