,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.1,CELL.1,4,Injury_2DPI_rep3_SS200000147BL_D4,1,6,2326.0,23.0,uninj,D,NO,VLMC,VLMC
CELL.2,CELL.2,4,Injury_2DPI_rep3_SS200000147BL_D4,2,6,2249.0,37.0,uninj,V,NO,VLMC,VLMC
CELL.3,CELL.3,8,Injury_2DPI_rep3_SS200000147BL_D4,3,3,2399.0,40.0,uninj,D,NO,VLMC,VLMC
CELL.4,CELL.4,4,Injury_2DPI_rep3_SS200000147BL_D4,4,3,2170.0,46.0,uninj,V,NO,VLMC,VLMC
CELL.5,CELL.5,4,Injury_2DPI_rep3_SS200000147BL_D4,5,3,1871.0,47.0,uninj,V,NO,VLMC,VLMC
CELL.6,CELL.6,4,Injury_2DPI_rep3_SS200000147BL_D4,6,3,2042.0,48.0,uninj,V,NO,VLMC,VLMC
CELL.7,CELL.7,4,Injury_2DPI_rep3_SS200000147BL_D4,7,6,2285.0,49.0,uninj,V,NO,VLMC,VLMC
CELL.8,CELL.8,4,Injury_2DPI_rep3_SS200000147BL_D4,8,3,2739.0,69.0,uninj,D,NO,VLMC,VLMC
CELL.9,CELL.9,4,Injury_2DPI_rep3_SS200000147BL_D4,9,3,1743.0,60.0,uninj,V,NO,VLMC,VLMC
CELL.10,CELL.10,8,Injury_2DPI_rep3_SS200000147BL_D4,10,3,2775.0,60.0,uninj,D,NO,VLMC,VLMC
CELL.11,CELL.11,8,Injury_2DPI_rep3_SS200000147BL_D4,11,3,1844.0,61.0,uninj,V,NO,VLMC,VLMC
CELL.12,CELL.12,8,Injury_2DPI_rep3_SS200000147BL_D4,12,3,2549.0,63.0,uninj,D,NO,VLMC,VLMC
CELL.14,CELL.14,4,Injury_2DPI_rep3_SS200000147BL_D4,14,3,1760.0,71.0,uninj,V,NO,VLMC,VLMC
CELL.15,CELL.15,8,Injury_2DPI_rep3_SS200000147BL_D4,15,3,2818.0,69.0,uninj,D,NO,VLMC,VLMC
CELL.16,CELL.16,4,Injury_2DPI_rep3_SS200000147BL_D4,16,6,2113.0,71.0,uninj,V,NO,VLMC,VLMC
CELL.17,CELL.17,4,Injury_2DPI_rep3_SS200000147BL_D4,17,3,1689.0,86.0,uninj,V,NO,VLMC,VLMC
CELL.18,CELL.18,8,Injury_2DPI_rep3_SS200000147BL_D4,18,3,1871.0,75.0,uninj,V,NO,VLMC,VLMC
CELL.19,CELL.19,4,Injury_2DPI_rep3_SS200000147BL_D4,19,3,2691.0,83.0,uninj,D,NO,VLMC,VLMC
CELL.20,CELL.20,4,Injury_2DPI_rep3_SS200000147BL_D4,20,3,1852.0,77.0,uninj,V,NO,VLMC,VLMC
CELL.21,CELL.21,8,Injury_2DPI_rep3_SS200000147BL_D4,21,3,1780.0,85.0,uninj,V,NO,VLMC,VLMC
CELL.22,CELL.22,8,Injury_2DPI_rep3_SS200000147BL_D4,22,3,2524.0,85.0,uninj,D,NO,VLMC,VLMC
CELL.23,CELL.23,4,Injury_2DPI_rep3_SS200000147BL_D4,23,3,2720.0,84.0,uninj,D,NO,VLMC,VLMC
CELL.24,CELL.24,8,Injury_2DPI_rep3_SS200000147BL_D4,24,3,2661.0,89.0,uninj,D,NO,VLMC,VLMC
CELL.25,CELL.25,4,Injury_2DPI_rep3_SS200000147BL_D4,25,6,2091.0,93.0,uninj,V,NO,VLMC,VLMC
CELL.26,CELL.26,4,Injury_2DPI_rep3_SS200000147BL_D4,26,6,1638.0,98.0,uninj,V,NO,VLMC,VLMC
CELL.29,CELL.29,4,Injury_2DPI_rep3_SS200000147BL_D4,29,6,2926.0,111.0,uninj,D,NO,VLMC,VLMC
CELL.30,CELL.30,4,Injury_2DPI_rep3_SS200000147BL_D4,30,3,2757.0,98.0,uninj,D,NO,VLMC,VLMC
CELL.31,CELL.31,4,Injury_2DPI_rep3_SS200000147BL_D4,31,3,2807.0,102.0,uninj,D,NO,VLMC,VLMC
CELL.34,CELL.34,8,Injury_2DPI_rep3_SS200000147BL_D4,34,3,2959.0,111.0,uninj,D,NO,VLMC,VLMC
CELL.35,CELL.35,4,Injury_2DPI_rep3_SS200000147BL_D4,35,3,1603.0,113.0,uninj,V,NO,VLMC,VLMC
CELL.37,CELL.37,4,Injury_2DPI_rep3_SS200000147BL_D4,37,6,1532.0,120.0,uninj,V,NO,VLMC,VLMC
CELL.41,CELL.41,4,Injury_2DPI_rep3_SS200000147BL_D4,41,6,2097.0,134.0,uninj,V,NO,VLMC,VLMC
CELL.44,CELL.44,8,Injury_2DPI_rep3_SS200000147BL_D4,44,3,1969.0,141.0,uninj,V,NO,VLMC,VLMC
CELL.45,CELL.45,4,Injury_2DPI_rep3_SS200000147BL_D4,45,6,1506.0,140.0,uninj,V,NO,VLMC,VLMC
CELL.46,CELL.46,8,Injury_2DPI_rep3_SS200000147BL_D4,46,3,1532.0,142.0,uninj,V,NO,VLMC,VLMC
CELL.47,CELL.47,4,Injury_2DPI_rep3_SS200000147BL_D4,47,6,1451.0,146.0,uninj,V,NO,VLMC,VLMC
CELL.48,CELL.48,8,Injury_2DPI_rep3_SS200000147BL_D4,48,3,1605.0,140.0,uninj,V,NO,VLMC,VLMC
CELL.50,CELL.50,7,Injury_2DPI_rep3_SS200000147BL_D4,50,9,1933.0,152.0,uninj,V,NO,MPEX,MPEX
CELL.52,CELL.52,4,Injury_2DPI_rep3_SS200000147BL_D4,52,6,2913.0,150.0,uninj,D,NO,VLMC,VLMC
CELL.53,CELL.53,4,Injury_2DPI_rep3_SS200000147BL_D4,53,6,2142.0,164.0,uninj,V,NO,VLMC,VLMC
CELL.54,CELL.54,4,Injury_2DPI_rep3_SS200000147BL_D4,54,6,1391.0,160.0,uninj,V,NO,VLMC,VLMC
CELL.57,CELL.57,4,Injury_2DPI_rep3_SS200000147BL_D4,57,3,2388.0,160.0,uninj,D,NO,VLMC,VLMC
CELL.58,CELL.58,8,Injury_2DPI_rep3_SS200000147BL_D4,58,3,1833.0,163.0,uninj,V,NO,VLMC,VLMC
CELL.60,CELL.60,0,Injury_2DPI_rep3_SS200000147BL_D4,60,4,2419.0,167.0,uninj,D,NO,OBNBL,OBNBL
CELL.61,CELL.61,4,Injury_2DPI_rep3_SS200000147BL_D4,61,6,2115.0,167.0,uninj,V,NO,VLMC,VLMC
CELL.62,CELL.62,7,Injury_2DPI_rep3_SS200000147BL_D4,62,8,1886.0,171.0,uninj,V,NO,CMPN,CMPN
CELL.64,CELL.64,7,Injury_2DPI_rep3_SS200000147BL_D4,64,3,1784.0,174.0,uninj,V,NO,VLMC,VLMC
