,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.243,CELL.243,3,Injury_10DPI_rep2_SS200000147BL_B2,243,4,2486.0,5840.0,inj,V,NO,VLMC,VLMC
CELL.244,CELL.244,3,Injury_10DPI_rep2_SS200000147BL_B2,244,4,2492.0,5935.0,inj,V,NO,VLMC,VLMC
CELL.245,CELL.245,3,Injury_10DPI_rep2_SS200000147BL_B2,245,4,2485.0,5862.0,inj,V,NO,VLMC,VLMC
CELL.246,CELL.246,3,Injury_10DPI_rep2_SS200000147BL_B2,246,4,2489.0,5812.0,inj,V,NO,VLMC,VLMC
CELL.247,CELL.247,3,Injury_10DPI_rep2_SS200000147BL_B2,247,4,2498.0,5910.0,inj,V,NO,VLMC,VLMC
CELL.248,CELL.248,3,Injury_10DPI_rep2_SS200000147BL_B2,248,4,2499.0,5675.0,inj,V,NO,VLMC,VLMC
CELL.249,CELL.249,3,Injury_10DPI_rep2_SS200000147BL_B2,249,4,2505.0,5976.0,inj,V,NO,VLMC,VLMC
CELL.250,CELL.250,3,Injury_10DPI_rep2_SS200000147BL_B2,250,4,2511.0,5801.0,inj,V,NO,VLMC,VLMC
CELL.251,CELL.251,3,Injury_10DPI_rep2_SS200000147BL_B2,251,4,2509.0,5706.0,inj,V,NO,VLMC,VLMC
CELL.252,CELL.252,3,Injury_10DPI_rep2_SS200000147BL_B2,252,4,2516.0,5612.0,inj,V,NO,VLMC,VLMC
CELL.253,CELL.253,3,Injury_10DPI_rep2_SS200000147BL_B2,253,4,2529.0,5463.0,inj,V,NO,VLMC,VLMC
CELL.254,CELL.254,3,Injury_10DPI_rep2_SS200000147BL_B2,254,4,2511.0,5877.0,inj,V,NO,VLMC,VLMC
CELL.255,CELL.255,3,Injury_10DPI_rep2_SS200000147BL_B2,255,4,2521.0,5538.0,inj,V,NO,VLMC,VLMC
CELL.256,CELL.256,3,Injury_10DPI_rep2_SS200000147BL_B2,256,4,2520.0,5934.0,inj,V,NO,VLMC,VLMC
