,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.10,CELL.10,6,Injury_10DPI_rep4_SS200000147BL_B3,10,8,19.0,2109.0,uninj,D,NO,VLMC,VLMC
CELL.11,CELL.11,5,Injury_10DPI_rep4_SS200000147BL_B3,11,8,24.0,2013.0,uninj,D,NO,VLMC,VLMC
CELL.12,CELL.12,6,Injury_10DPI_rep4_SS200000147BL_B3,12,8,32.0,2058.0,uninj,D,NO,VLMC,VLMC
CELL.13,CELL.13,6,Injury_10DPI_rep4_SS200000147BL_B3,13,8,32.0,2154.0,uninj,D,NO,VLMC,VLMC
CELL.14,CELL.14,6,Injury_10DPI_rep4_SS200000147BL_B3,14,8,27.0,2228.0,uninj,D,NO,VLMC,VLMC
CELL.15,CELL.15,6,Injury_10DPI_rep4_SS200000147BL_B3,15,8,38.0,2279.0,uninj,D,NO,VLMC,VLMC
CELL.16,CELL.16,6,Injury_10DPI_rep4_SS200000147BL_B3,16,8,46.0,2213.0,uninj,D,NO,VLMC,VLMC
CELL.17,CELL.17,6,Injury_10DPI_rep4_SS200000147BL_B3,17,8,56.0,1944.0,uninj,D,NO,VLMC,VLMC
CELL.18,CELL.18,6,Injury_10DPI_rep4_SS200000147BL_B3,18,8,52.0,1993.0,uninj,D,NO,VLMC,VLMC
CELL.19,CELL.19,6,Injury_10DPI_rep4_SS200000147BL_B3,19,8,61.0,2272.0,uninj,D,NO,VLMC,VLMC
CELL.21,CELL.21,6,Injury_10DPI_rep4_SS200000147BL_B3,21,8,71.0,2323.0,uninj,D,NO,VLMC,VLMC
CELL.22,CELL.22,6,Injury_10DPI_rep4_SS200000147BL_B3,22,8,83.0,1883.0,uninj,D,NO,VLMC,VLMC
CELL.23,CELL.23,6,Injury_10DPI_rep4_SS200000147BL_B3,23,8,77.0,1949.0,uninj,D,NO,VLMC,VLMC
CELL.24,CELL.24,6,Injury_10DPI_rep4_SS200000147BL_B3,24,8,81.0,1853.0,uninj,D,NO,VLMC,VLMC
CELL.27,CELL.27,6,Injury_10DPI_rep4_SS200000147BL_B3,27,8,73.0,2370.0,uninj,D,NO,VLMC,VLMC
CELL.28,CELL.28,6,Injury_10DPI_rep4_SS200000147BL_B3,28,8,80.0,1923.0,uninj,D,NO,VLMC,VLMC
CELL.29,CELL.29,6,Injury_10DPI_rep4_SS200000147BL_B3,29,8,101.0,2436.0,uninj,D,NO,VLMC,VLMC
CELL.30,CELL.30,5,Injury_10DPI_rep4_SS200000147BL_B3,30,8,91.0,2470.0,uninj,D,NO,VLMC,VLMC
CELL.31,CELL.31,6,Injury_10DPI_rep4_SS200000147BL_B3,31,8,107.0,2530.0,uninj,D,NO,VLMC,VLMC
CELL.32,CELL.32,6,Injury_10DPI_rep4_SS200000147BL_B3,32,8,103.0,1850.0,uninj,D,NO,VLMC,VLMC
CELL.33,CELL.33,6,Injury_10DPI_rep4_SS200000147BL_B3,33,8,104.0,1950.0,uninj,D,NO,VLMC,VLMC
CELL.34,CELL.34,6,Injury_10DPI_rep4_SS200000147BL_B3,34,8,100.0,1925.0,uninj,D,NO,VLMC,VLMC
CELL.36,CELL.36,6,Injury_10DPI_rep4_SS200000147BL_B3,36,8,111.0,2421.0,uninj,D,NO,VLMC,VLMC
CELL.38,CELL.38,7,Injury_10DPI_rep4_SS200000147BL_B3,38,6,122.0,2096.0,uninj,D,NO,VLMC,VLMC
CELL.39,CELL.39,6,Injury_10DPI_rep4_SS200000147BL_B3,39,8,105.0,1823.0,uninj,D,NO,VLMC,VLMC
CELL.40,CELL.40,6,Injury_10DPI_rep4_SS200000147BL_B3,40,8,115.0,1893.0,uninj,D,NO,VLMC,VLMC
CELL.42,CELL.42,6,Injury_10DPI_rep4_SS200000147BL_B3,42,8,123.0,2640.0,uninj,D,NO,VLMC,VLMC
CELL.43,CELL.43,6,Injury_10DPI_rep4_SS200000147BL_B3,43,7,125.0,1847.0,uninj,D,NO,MPEX,MPEX
CELL.45,CELL.45,6,Injury_10DPI_rep4_SS200000147BL_B3,45,8,139.0,1707.0,uninj,D,NO,VLMC,VLMC
CELL.46,CELL.46,6,Injury_10DPI_rep4_SS200000147BL_B3,46,8,118.0,2512.0,uninj,D,NO,VLMC,VLMC
CELL.47,CELL.47,7,Injury_10DPI_rep4_SS200000147BL_B3,47,6,134.0,2072.0,uninj,D,NO,VLMC,VLMC
CELL.48,CELL.48,6,Injury_10DPI_rep4_SS200000147BL_B3,48,6,134.0,2130.0,uninj,D,NO,VLMC,VLMC
CELL.49,CELL.49,7,Injury_10DPI_rep4_SS200000147BL_B3,49,7,141.0,3905.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.50,CELL.50,6,Injury_10DPI_rep4_SS200000147BL_B3,50,8,135.0,2347.0,uninj,D,NO,VLMC,VLMC
CELL.51,CELL.51,6,Injury_10DPI_rep4_SS200000147BL_B3,51,8,136.0,1871.0,uninj,D,NO,VLMC,VLMC
CELL.52,CELL.52,6,Injury_10DPI_rep4_SS200000147BL_B3,52,8,138.0,2440.0,uninj,D,NO,VLMC,VLMC
CELL.53,CELL.53,6,Injury_10DPI_rep4_SS200000147BL_B3,53,8,141.0,1957.0,uninj,D,NO,VLMC,VLMC
CELL.56,CELL.56,6,Injury_10DPI_rep4_SS200000147BL_B3,56,7,148.0,1850.0,uninj,D,NO,MPEX,MPEX
CELL.57,CELL.57,6,Injury_10DPI_rep4_SS200000147BL_B3,57,8,143.0,1897.0,uninj,D,NO,VLMC,VLMC
CELL.58,CELL.58,6,Injury_10DPI_rep4_SS200000147BL_B3,58,8,147.0,2471.0,uninj,D,NO,VLMC,VLMC
CELL.59,CELL.59,7,Injury_10DPI_rep4_SS200000147BL_B3,59,6,155.0,2090.0,uninj,D,NO,VLMC,VLMC
CELL.60,CELL.60,6,Injury_10DPI_rep4_SS200000147BL_B3,60,8,154.0,2372.0,uninj,D,NO,VLMC,VLMC
CELL.61,CELL.61,6,Injury_10DPI_rep4_SS200000147BL_B3,61,8,160.0,2612.0,uninj,D,NO,VLMC,VLMC
CELL.62,CELL.62,6,Injury_10DPI_rep4_SS200000147BL_B3,62,8,165.0,1548.0,uninj,D,NO,VLMC,VLMC
CELL.63,CELL.63,6,Injury_10DPI_rep4_SS200000147BL_B3,63,8,147.0,1733.0,uninj,D,NO,VLMC,VLMC
CELL.64,CELL.64,6,Injury_10DPI_rep4_SS200000147BL_B3,64,8,162.0,1616.0,uninj,D,NO,VLMC,VLMC
CELL.65,CELL.65,6,Injury_10DPI_rep4_SS200000147BL_B3,65,8,165.0,1698.0,uninj,D,NO,VLMC,VLMC
CELL.66,CELL.66,7,Injury_10DPI_rep4_SS200000147BL_B3,66,6,170.0,2235.0,uninj,D,NO,VLMC,VLMC
CELL.68,CELL.68,6,Injury_10DPI_rep4_SS200000147BL_B3,68,8,176.0,1673.0,uninj,D,NO,VLMC,VLMC
CELL.69,CELL.69,6,Injury_10DPI_rep4_SS200000147BL_B3,69,7,167.0,1877.0,uninj,D,NO,MPEX,MPEX
CELL.70,CELL.70,7,Injury_10DPI_rep4_SS200000147BL_B3,70,7,171.0,3876.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.71,CELL.71,6,Injury_10DPI_rep4_SS200000147BL_B3,71,8,178.0,2663.0,uninj,D,NO,VLMC,VLMC
CELL.72,CELL.72,6,Injury_10DPI_rep4_SS200000147BL_B3,72,7,185.0,3798.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.73,CELL.73,5,Injury_10DPI_rep4_SS200000147BL_B3,73,7,179.0,3949.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.74,CELL.74,7,Injury_10DPI_rep4_SS200000147BL_B3,74,7,190.0,3849.0,inj,D,inj_D_MP,Microglia,MCG
CELL.76,CELL.76,6,Injury_10DPI_rep4_SS200000147BL_B3,76,8,182.0,2568.0,uninj,D,NO,VLMC,VLMC
CELL.77,CELL.77,6,Injury_10DPI_rep4_SS200000147BL_B3,77,6,173.0,2070.0,uninj,D,NO,VLMC,VLMC
CELL.78,CELL.78,7,Injury_10DPI_rep4_SS200000147BL_B3,78,6,167.0,2110.0,uninj,D,NO,VLMC,VLMC
CELL.79,CELL.79,6,Injury_10DPI_rep4_SS200000147BL_B3,79,8,181.0,1707.0,uninj,D,NO,VLMC,VLMC
CELL.80,CELL.80,6,Injury_10DPI_rep4_SS200000147BL_B3,80,8,192.0,1517.0,uninj,D,NO,VLMC,VLMC
CELL.82,CELL.82,6,Injury_10DPI_rep4_SS200000147BL_B3,82,8,186.0,2377.0,uninj,D,NO,VLMC,VLMC
CELL.83,CELL.83,7,Injury_10DPI_rep4_SS200000147BL_B3,83,7,181.0,3896.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.85,CELL.85,5,Injury_10DPI_rep4_SS200000147BL_B3,85,6,188.0,2226.0,uninj,D,NO,VLMC,VLMC
CELL.86,CELL.86,6,Injury_10DPI_rep4_SS200000147BL_B3,86,8,187.0,2343.0,uninj,D,NO,VLMC,VLMC
CELL.87,CELL.87,7,Injury_10DPI_rep4_SS200000147BL_B3,87,7,185.0,2256.0,uninj,D,NO,Microglia,MCG
CELL.88,CELL.88,6,Injury_10DPI_rep4_SS200000147BL_B3,88,8,191.0,2621.0,uninj,D,NO,VLMC,VLMC
CELL.89,CELL.89,6,Injury_10DPI_rep4_SS200000147BL_B3,89,8,196.0,2274.0,uninj,D,NO,VLMC,VLMC
CELL.91,CELL.91,5,Injury_10DPI_rep4_SS200000147BL_B3,91,7,204.0,3930.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.94,CELL.94,6,Injury_10DPI_rep4_SS200000147BL_B3,94,8,197.0,1593.0,uninj,D,NO,VLMC,VLMC
CELL.96,CELL.96,6,Injury_10DPI_rep4_SS200000147BL_B3,96,8,194.0,1738.0,uninj,D,NO,VLMC,VLMC
CELL.98,CELL.98,6,Injury_10DPI_rep4_SS200000147BL_B3,98,8,196.0,1552.0,uninj,D,NO,VLMC,VLMC
CELL.99,CELL.99,6,Injury_10DPI_rep4_SS200000147BL_B3,99,7,201.0,3906.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.100,CELL.100,5,Injury_10DPI_rep4_SS200000147BL_B3,100,6,213.0,3591.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.101,CELL.101,6,Injury_10DPI_rep4_SS200000147BL_B3,101,8,212.0,1472.0,uninj,D,NO,VLMC,VLMC
CELL.102,CELL.102,6,Injury_10DPI_rep4_SS200000147BL_B3,102,8,227.0,2785.0,uninj,D,NO,VLMC,VLMC
CELL.103,CELL.103,5,Injury_10DPI_rep4_SS200000147BL_B3,103,6,223.0,3615.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.104,CELL.104,6,Injury_10DPI_rep4_SS200000147BL_B3,104,8,210.0,2685.0,uninj,D,NO,VLMC,VLMC
CELL.105,CELL.105,7,Injury_10DPI_rep4_SS200000147BL_B3,105,7,214.0,3878.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.106,CELL.106,6,Injury_10DPI_rep4_SS200000147BL_B3,106,8,214.0,2644.0,uninj,D,NO,VLMC,VLMC
CELL.107,CELL.107,6,Injury_10DPI_rep4_SS200000147BL_B3,107,8,210.0,1708.0,uninj,D,NO,VLMC,VLMC
CELL.108,CELL.108,6,Injury_10DPI_rep4_SS200000147BL_B3,108,8,213.0,1675.0,uninj,D,NO,VLMC,VLMC
CELL.109,CELL.109,7,Injury_10DPI_rep4_SS200000147BL_B3,109,7,223.0,3825.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.110,CELL.110,6,Injury_10DPI_rep4_SS200000147BL_B3,110,8,228.0,1488.0,uninj,D,NO,VLMC,VLMC
CELL.112,CELL.112,6,Injury_10DPI_rep4_SS200000147BL_B3,112,8,223.0,2726.0,uninj,D,NO,VLMC,VLMC
CELL.114,CELL.114,6,Injury_10DPI_rep4_SS200000147BL_B3,114,7,234.0,3956.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.116,CELL.116,6,Injury_10DPI_rep4_SS200000147BL_B3,116,7,231.0,3858.0,inj,D,inj_D_MP,Microglia,MCG
CELL.117,CELL.117,6,Injury_10DPI_rep4_SS200000147BL_B3,117,7,236.0,4010.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.118,CELL.118,6,Injury_10DPI_rep4_SS200000147BL_B3,118,6,242.0,3532.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.120,CELL.120,6,Injury_10DPI_rep4_SS200000147BL_B3,120,6,239.0,2465.0,uninj,D,NO,VLMC,VLMC
CELL.122,CELL.122,5,Injury_10DPI_rep4_SS200000147BL_B3,122,6,246.0,3590.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.123,CELL.123,6,Injury_10DPI_rep4_SS200000147BL_B3,123,6,242.0,2381.0,uninj,D,NO,VLMC,VLMC
CELL.125,CELL.125,6,Injury_10DPI_rep4_SS200000147BL_B3,125,8,261.0,2871.0,uninj,D,NO,VLMC,VLMC
CELL.126,CELL.126,5,Injury_10DPI_rep4_SS200000147BL_B3,126,8,246.0,2735.0,uninj,D,NO,VLMC,VLMC
CELL.127,CELL.127,6,Injury_10DPI_rep4_SS200000147BL_B3,127,8,252.0,1521.0,uninj,D,NO,VLMC,VLMC
CELL.129,CELL.129,6,Injury_10DPI_rep4_SS200000147BL_B3,129,8,255.0,2943.0,uninj,D,NO,VLMC,VLMC
CELL.130,CELL.130,6,Injury_10DPI_rep4_SS200000147BL_B3,130,7,257.0,3989.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.131,CELL.131,6,Injury_10DPI_rep4_SS200000147BL_B3,131,8,251.0,2815.0,uninj,D,NO,VLMC,VLMC
CELL.133,CELL.133,6,Injury_10DPI_rep4_SS200000147BL_B3,133,7,266.0,4085.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.134,CELL.134,6,Injury_10DPI_rep4_SS200000147BL_B3,134,8,255.0,1482.0,uninj,D,NO,VLMC,VLMC
CELL.135,CELL.135,6,Injury_10DPI_rep4_SS200000147BL_B3,135,8,266.0,3618.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.136,CELL.136,6,Injury_10DPI_rep4_SS200000147BL_B3,136,8,256.0,3849.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.137,CELL.137,7,Injury_10DPI_rep4_SS200000147BL_B3,137,6,266.0,2581.0,uninj,D,NO,VLMC,VLMC
CELL.138,CELL.138,5,Injury_10DPI_rep4_SS200000147BL_B3,138,8,265.0,2983.0,uninj,D,NO,VLMC,VLMC
CELL.140,CELL.140,6,Injury_10DPI_rep4_SS200000147BL_B3,140,8,269.0,1298.0,uninj,D,NO,VLMC,VLMC
CELL.141,CELL.141,6,Injury_10DPI_rep4_SS200000147BL_B3,141,8,277.0,1360.0,uninj,D,NO,VLMC,VLMC
CELL.143,CELL.143,6,Injury_10DPI_rep4_SS200000147BL_B3,143,6,273.0,2559.0,uninj,D,NO,VLMC,VLMC
CELL.144,CELL.144,6,Injury_10DPI_rep4_SS200000147BL_B3,144,8,269.0,3555.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.145,CELL.145,6,Injury_10DPI_rep4_SS200000147BL_B3,145,7,270.0,4038.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.146,CELL.146,6,Injury_10DPI_rep4_SS200000147BL_B3,146,7,266.0,3936.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.148,CELL.148,6,Injury_10DPI_rep4_SS200000147BL_B3,148,8,272.0,1409.0,uninj,D,NO,VLMC,VLMC
CELL.149,CELL.149,6,Injury_10DPI_rep4_SS200000147BL_B3,149,8,272.0,3527.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.150,CELL.150,6,Injury_10DPI_rep4_SS200000147BL_B3,150,8,266.0,2780.0,uninj,D,NO,VLMC,VLMC
CELL.151,CELL.151,6,Injury_10DPI_rep4_SS200000147BL_B3,151,8,274.0,2909.0,uninj,D,NO,VLMC,VLMC
CELL.154,CELL.154,6,Injury_10DPI_rep4_SS200000147BL_B3,154,8,280.0,3605.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.155,CELL.155,6,Injury_10DPI_rep4_SS200000147BL_B3,155,7,281.0,4020.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.156,CELL.156,5,Injury_10DPI_rep4_SS200000147BL_B3,156,8,280.0,3005.0,uninj,D,NO,VLMC,VLMC
CELL.159,CELL.159,6,Injury_10DPI_rep4_SS200000147BL_B3,159,6,299.0,3499.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.160,CELL.160,6,Injury_10DPI_rep4_SS200000147BL_B3,160,8,283.0,2953.0,uninj,D,NO,VLMC,VLMC
CELL.162,CELL.162,7,Injury_10DPI_rep4_SS200000147BL_B3,162,6,290.0,2535.0,uninj,D,NO,VLMC,VLMC
CELL.164,CELL.164,7,Injury_10DPI_rep4_SS200000147BL_B3,164,6,291.0,2607.0,uninj,D,NO,VLMC,VLMC
CELL.165,CELL.165,6,Injury_10DPI_rep4_SS200000147BL_B3,165,7,292.0,4098.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.166,CELL.166,6,Injury_10DPI_rep4_SS200000147BL_B3,166,7,297.0,3250.0,uninj,D,NO,VLMC,VLMC
CELL.167,CELL.167,6,Injury_10DPI_rep4_SS200000147BL_B3,167,8,301.0,3464.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.168,CELL.168,6,Injury_10DPI_rep4_SS200000147BL_B3,168,7,298.0,3904.0,inj,D,inj_D_MP,VLMC,VLMC
CELL.169,CELL.169,6,Injury_10DPI_rep4_SS200000147BL_B3,169,8,294.0,2845.0,uninj,D,NO,VLMC,VLMC
