,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.1,CELL.1,1,Injury_15DPI_rep3_FP200000266TR_E3,1,6,VLMC,inj,V,VLMC,VLMC
CELL.2,CELL.2,1,Injury_15DPI_rep3_FP200000266TR_E3,2,2,CP,inj,V,VLMC,VLMC
CELL.3,CELL.3,1,Injury_15DPI_rep3_FP200000266TR_E3,3,2,CP,inj,V,VLMC,VLMC
CELL.4,CELL.4,1,Injury_15DPI_rep3_FP200000266TR_E3,4,6,CP,inj,V,VLMC,VLMC
CELL.5,CELL.5,1,Injury_15DPI_rep3_FP200000266TR_E3,5,6,VLMC,inj,V,VLMC,VLMC
CELL.6,CELL.6,1,Injury_15DPI_rep3_FP200000266TR_E3,6,6,VLMC,inj,V,VLMC,VLMC
CELL.7,CELL.7,1,Injury_15DPI_rep3_FP200000266TR_E3,7,6,VLMC,inj,V,VLMC,VLMC
CELL.8,CELL.8,1,Injury_15DPI_rep3_FP200000266TR_E3,8,6,VLMC,inj,V,VLMC,VLMC
CELL.9,CELL.9,1,Injury_15DPI_rep3_FP200000266TR_E3,9,6,CP,inj,V,VLMC,VLMC
CELL.10,CELL.10,1,Injury_15DPI_rep3_FP200000266TR_E3,10,2,CP,inj,V,VLMC,VLMC
CELL.11,CELL.11,1,Injury_15DPI_rep3_FP200000266TR_E3,11,6,VLMC,inj,V,VLMC,VLMC
CELL.12,CELL.12,1,Injury_15DPI_rep3_FP200000266TR_E3,12,2,CP,inj,V,VLMC,VLMC
CELL.13,CELL.13,1,Injury_15DPI_rep3_FP200000266TR_E3,13,6,CP,inj,V,VLMC,VLMC
CELL.14,CELL.14,1,Injury_15DPI_rep3_FP200000266TR_E3,14,2,CP,inj,V,VLMC,VLMC
CELL.15,CELL.15,1,Injury_15DPI_rep3_FP200000266TR_E3,15,6,VLMC,inj,V,VLMC,VLMC
CELL.16,CELL.16,1,Injury_15DPI_rep3_FP200000266TR_E3,16,6,VLMC,inj,V,VLMC,VLMC
CELL.17,CELL.17,1,Injury_15DPI_rep3_FP200000266TR_E3,17,6,CP,inj,V,VLMC,VLMC
CELL.18,CELL.18,1,Injury_15DPI_rep3_FP200000266TR_E3,18,2,CP,inj,V,VLMC,VLMC
CELL.19,CELL.19,1,Injury_15DPI_rep3_FP200000266TR_E3,19,6,VLMC,inj,V,VLMC,VLMC
CELL.20,CELL.20,1,Injury_15DPI_rep3_FP200000266TR_E3,20,2,CP,inj,V,VLMC,VLMC
CELL.21,CELL.21,1,Injury_15DPI_rep3_FP200000266TR_E3,21,2,CP,inj,V,VLMC,VLMC
CELL.22,CELL.22,1,Injury_15DPI_rep3_FP200000266TR_E3,22,2,CP,inj,V,VLMC,VLMC
CELL.23,CELL.23,1,Injury_15DPI_rep3_FP200000266TR_E3,23,2,CP,inj,V,VLMC,VLMC
CELL.24,CELL.24,1,Injury_15DPI_rep3_FP200000266TR_E3,24,6,VLMC,inj,V,VLMC,VLMC
CELL.25,CELL.25,1,Injury_15DPI_rep3_FP200000266TR_E3,25,6,CP,inj,V,VLMC,VLMC
CELL.26,CELL.26,5,Injury_15DPI_rep3_FP200000266TR_E3,26,6,VLMC,inj,V,VLMC,VLMC
