,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.11,CELL.11,3,Injury_30DPI_rep2_FP200000264BL_A6,11,2,VLMC,inj,V,VLMC,VLMC
CELL.12,CELL.12,3,Injury_30DPI_rep2_FP200000264BL_A6,12,2,VLMC,inj,V,VLMC,VLMC
CELL.13,CELL.13,3,Injury_30DPI_rep2_FP200000264BL_A6,13,2,VLMC,inj,V,VLMC,VLMC
CELL.15,CELL.15,3,Injury_30DPI_rep2_FP200000264BL_A6,15,2,VLMC,inj,V,VLMC,VLMC
CELL.16,CELL.16,3,Injury_30DPI_rep2_FP200000264BL_A6,16,2,VLMC,inj,V,VLMC,VLMC
CELL.17,CELL.17,3,Injury_30DPI_rep2_FP200000264BL_A6,17,3,WNTRGC,inj,V,Immature EX,TLNBL
CELL.18,CELL.18,3,Injury_30DPI_rep2_FP200000264BL_A6,18,2,VLMC,inj,V,VLMC,VLMC
CELL.19,CELL.19,3,Injury_30DPI_rep2_FP200000264BL_A6,19,2,VLMC,inj,V,VLMC,VLMC
CELL.20,CELL.20,3,Injury_30DPI_rep2_FP200000264BL_A6,20,2,VLMC,inj,V,VLMC,VLMC
CELL.21,CELL.21,3,Injury_30DPI_rep2_FP200000264BL_A6,21,2,VLMC,inj,V,VLMC,VLMC
CELL.23,CELL.23,3,Injury_30DPI_rep2_FP200000264BL_A6,23,1,CP,inj,V,VLMC,VLMC
CELL.24,CELL.24,3,Injury_30DPI_rep2_FP200000264BL_A6,24,2,VLMC,inj,V,VLMC,VLMC
CELL.25,CELL.25,3,Injury_30DPI_rep2_FP200000264BL_A6,25,2,VLMC,inj,V,VLMC,VLMC
CELL.26,CELL.26,3,Injury_30DPI_rep2_FP200000264BL_A6,26,2,VLMC,inj,V,VLMC,VLMC
CELL.27,CELL.27,3,Injury_30DPI_rep2_FP200000264BL_A6,27,2,VLMC,inj,V,VLMC,VLMC
CELL.30,CELL.30,3,Injury_30DPI_rep2_FP200000264BL_A6,30,2,VLMC,inj,V,VLMC,VLMC
CELL.31,CELL.31,3,Injury_30DPI_rep2_FP200000264BL_A6,31,2,VLMC,inj,V,VLMC,VLMC
CELL.32,CELL.32,3,Injury_30DPI_rep2_FP200000264BL_A6,32,2,VLMC,inj,V,VLMC,VLMC
CELL.33,CELL.33,3,Injury_30DPI_rep2_FP200000264BL_A6,33,1,CP,inj,V,VLMC,VLMC
CELL.35,CELL.35,3,Injury_30DPI_rep2_FP200000264BL_A6,35,1,CP,inj,V,VLMC,VLMC
CELL.36,CELL.36,3,Injury_30DPI_rep2_FP200000264BL_A6,36,1,CP,inj,V,VLMC,VLMC
CELL.37,CELL.37,3,Injury_30DPI_rep2_FP200000264BL_A6,37,2,VLMC,inj,V,VLMC,VLMC
CELL.38,CELL.38,3,Injury_30DPI_rep2_FP200000264BL_A6,38,1,CP,inj,V,VLMC,VLMC
CELL.39,CELL.39,3,Injury_30DPI_rep2_FP200000264BL_A6,39,15,OLIGO,inj,V,OLIGO,OLIGO
CELL.40,CELL.40,3,Injury_30DPI_rep2_FP200000264BL_A6,40,1,VLMC,inj,V,VLMC,VLMC
CELL.42,CELL.42,3,Injury_30DPI_rep2_FP200000264BL_A6,42,13,SCGNIN,inj,V,SCGNIN,SCGNIN
CELL.43,CELL.43,3,Injury_30DPI_rep2_FP200000264BL_A6,43,2,VLMC,inj,V,VLMC,VLMC
CELL.44,CELL.44,3,Injury_30DPI_rep2_FP200000264BL_A6,44,1,CP,inj,V,VLMC,VLMC
CELL.45,CELL.45,3,Injury_30DPI_rep2_FP200000264BL_A6,45,2,VLMC,inj,V,VLMC,VLMC
CELL.46,CELL.46,3,Injury_30DPI_rep2_FP200000264BL_A6,46,2,VLMC,inj,V,VLMC,VLMC
CELL.47,CELL.47,3,Injury_30DPI_rep2_FP200000264BL_A6,47,1,CP,inj,V,VLMC,VLMC
CELL.48,CELL.48,3,Injury_30DPI_rep2_FP200000264BL_A6,48,1,CP,inj,V,VLMC,VLMC
CELL.49,CELL.49,3,Injury_30DPI_rep2_FP200000264BL_A6,49,2,VLMC,inj,V,VLMC,VLMC
CELL.51,CELL.51,3,Injury_30DPI_rep2_FP200000264BL_A6,51,1,CP,inj,V,VLMC,VLMC
CELL.52,CELL.52,3,Injury_30DPI_rep2_FP200000264BL_A6,52,1,CP,inj,V,VLMC,VLMC
