,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.5,CELL.5,4,Injury_2DPI_rep2_SS200000147BL_D5,5,8,1813.0,1654.0,uninj,V,NO,VLMC,VLMC
CELL.6,CELL.6,4,Injury_2DPI_rep2_SS200000147BL_D5,6,8,1777.0,1658.0,uninj,V,NO,VLMC,VLMC
CELL.7,CELL.7,4,Injury_2DPI_rep2_SS200000147BL_D5,7,3,1662.0,1658.0,uninj,V,NO,VLMC,VLMC
CELL.8,CELL.8,4,Injury_2DPI_rep2_SS200000147BL_D5,8,8,1882.0,1664.0,uninj,V,NO,VLMC,VLMC
CELL.9,CELL.9,4,Injury_2DPI_rep2_SS200000147BL_D5,9,8,1742.0,1664.0,uninj,V,NO,VLMC,VLMC
CELL.10,CELL.10,4,Injury_2DPI_rep2_SS200000147BL_D5,10,8,1919.0,1659.0,uninj,V,NO,VLMC,VLMC
CELL.11,CELL.11,4,Injury_2DPI_rep2_SS200000147BL_D5,11,8,1706.0,1663.0,uninj,V,NO,VLMC,VLMC
CELL.12,CELL.12,4,Injury_2DPI_rep2_SS200000147BL_D5,12,8,1980.0,1665.0,uninj,V,NO,VLMC,VLMC
CELL.13,CELL.13,4,Injury_2DPI_rep2_SS200000147BL_D5,13,8,1635.0,1669.0,uninj,V,NO,VLMC,VLMC
CELL.14,CELL.14,4,Injury_2DPI_rep2_SS200000147BL_D5,14,8,1844.0,1670.0,uninj,V,NO,VLMC,VLMC
CELL.15,CELL.15,4,Injury_2DPI_rep2_SS200000147BL_D5,15,3,2170.0,1681.0,uninj,V,NO,VLMC,VLMC
CELL.16,CELL.16,4,Injury_2DPI_rep2_SS200000147BL_D5,16,8,1950.0,1666.0,uninj,V,NO,VLMC,VLMC
CELL.17,CELL.17,4,Injury_2DPI_rep2_SS200000147BL_D5,17,3,2203.0,1676.0,uninj,V,NO,VLMC,VLMC
CELL.18,CELL.18,4,Injury_2DPI_rep2_SS200000147BL_D5,18,3,2241.0,1683.0,uninj,V,NO,VLMC,VLMC
CELL.19,CELL.19,4,Injury_2DPI_rep2_SS200000147BL_D5,19,8,1913.0,1686.0,uninj,V,NO,VLMC,VLMC
CELL.20,CELL.20,4,Injury_2DPI_rep2_SS200000147BL_D5,20,3,2115.0,1684.0,uninj,V,NO,VLMC,VLMC
CELL.21,CELL.21,4,Injury_2DPI_rep2_SS200000147BL_D5,21,3,1656.0,1685.0,uninj,V,NO,VLMC,VLMC
CELL.22,CELL.22,4,Injury_2DPI_rep2_SS200000147BL_D5,22,8,1691.0,1688.0,uninj,V,NO,VLMC,VLMC
